category_code|p_group|unit
AGR-A0001|사과|1개
AGR-A0002|사과|1개(300g)
AGR-A0003|사과|1개 300g
AGR-A0004|사과|1개 
AGR-A0005|사과|1개300g
AGR-A0006|사과|1개326g
AGR-A0007|사과|1개274g
AGR-A0008|사과|1개332g
AGR-A0009|사과|1개(400g)
AGR-A0010|사과|1개(320g)
AGR-A0011|사과|1개(214g)
AGR-A0012|사과|1개(273g)
AGR-A0013|사과|300g
AGR-A0014|사과|1개(280g)
AGR-A0015|사과|1개(276g)
AGR-A0016|사과|1 개
AGR-A0017|사과|1개(310g)
AGR-A0018|사과|1개(266g)
AGR-A0019|사과|1개(260g)
AGR-A0020|사과|1개(299g)
AGR-A0021|사과|1개260g
AGR-A0022|사과|1개(350g)
AGR-A0023|사과|1개(250g)
AGR-A0024|사과|사과(280g)
AGR-A0025|사과|1개(233g)
AGR-A0026|사과|1개(325g)
AGR-A0027|사과|1개290g
AGR-A0028|사과|1개308g
AGR-A0029|사과|1개(390g)
AGR-A0030|사과|1개265g
AGR-A0031|사과|1개351g
AGR-A0032|사과|1개246g
AGR-A0033|사과|1개(221g)
AGR-A0034|사과|1개(311g)
AGR-A0035|사과|1개(270g)
AGR-A0036|사과|1개(243g)
AGR-A0037|사과|1개312g
AGR-A0038|사과|1개(290g)
AGR-A0039|사과|1개306g
AGR-A0040|사과|1개(217g)
AGR-A0041|사과|1개입
AGR-A0042|사과|1개(264g)
AGR-A0043|사과|1개(326g)
AGR-A0044|사과|1개248g)
AGR-A0045|사과|1개(345kg)
AGR-A0046|사과|1개(240g)
AGR-A0047|사과|1개304g
AGR-A0048|사과|1개296g
AGR-A0049|사과|1개(274g)
AGR-A0050|사과|1개(200g)
AGR-A0051|사과|1개374g
AGR-A0052|사과|1개348g
AGR-A0053|사과|1개(288g)
AGR-A0054|사과|1개(340g)
AGR-A0055|사과|1개338g
AGR-A0056|사과|1개356g
AGR-A0057|사과|1개(263g)
AGR-A0058|사과|1개(324g)
AGR-A0059|사과|1개(297g)
AGR-A0060|사과|1개250g
AGR-A0061|사과|1개380g
AGR-A0062|사과|1개(430g)
AGR-A0063|사과|1개(258g)
AGR-A0064|사과|1개(330g)
AGR-A0065|사과|1개(225g)
AGR-A0066|사과|1개(272g)
AGR-A0067|사과|1개328g
AGR-A0068|사과|1개337g
AGR-A0069|사과|1개372g
AGR-A0070|사과|1개(334g)
AGR-A0071|사과|1개342g
AGR-A0072|사과|1개350g
AGR-A0073|사과|1개315g
AGR-A0074|사과|1개(370g)
AGR-A0075|사과|1개(230g)
AGR-A0076|사과|1개(285g)
AGR-A0077|사과|1개340g
AGR-A0078|사과|1개408g
AGR-A0079|사과|1개316g
AGR-A0080|사과|1개(312g)
AGR-A0081|사과|1개322g
AGR-A0082|사과|1개390g
AGR-A0083|사과|1개320g
AGR-A0084|사과|1개(333g)
AGR-A0085|사과|1개(400g) 
AGR-A0086|사과|1개331g
AGR-A0087|사과|1개(335g)
AGR-A0088|사과|1개(236g)
AGR-A0089|사과|1개(319g)
AGR-A0090|사과|1개334g
AGR-A0091|사과|1개373g
AGR-A0092|사과|1개333g
AGR-A0093|사과|1개(267g)
AGR-A0094|사과|1개(251g)
AGR-A0095|사과|1개(298g)
AGR-A0096|사과|1개(387g)
AGR-A0097|사과|1개335g
AGR-A0098|사과|1개343g
AGR-A0099|사과|1개361g
AGR-A0100|사과|1개336g
AGR-A0101|사과|1개(283g)
AGR-A0102|사과|1개(336g)
AGR-A0103|사과|1개(307g)
AGR-A0104|사과|국산
AGR-A0105|사과|1개327g
AGR-A0106|사과|1개330g
AGR-A0107|사과|300g 1개
AGR-A0108|사과|1개 (300g)
AGR-A0109|사과|1개(281g)
AGR-A0110|사과|1개(247g)
AGR-A0111|사과|1개(380g)
AGR-A0112|사과|1개345g
AGR-A0113|사과|1개324g
AGR-A0114|사과|1개347g
AGR-A0115|사과|1개(315g)
AGR-A0116|사과|1개(292g)
AGR-A0117|사과|1개(291g)
AGR-A0118|사과|1게
AGR-A0119|사과|1개364g
AGR-A0120|사과|1개(271g)
AGR-A0121|사과|1개(337g)
AGR-A0122|사과|1개 ( 300g )
AGR-A0123|사과|1개( 270g)
AGR-A0124|사과|1개(349g)
AGR-A0125|사과|1개(375g)
AGR-A0126|사과|1개(410g)
AGR-A0127|사과|1개(257g)
AGR-A0128|사과|1개383g
AGR-A0129|사과|1개370g
AGR-A0130|사과|1개(268g)
AGR-A0131|사과|1개(343g)
AGR-A0132|사과|1개 (300g )
AGR-A0133|사과|1개(245g)
AGR-A0134|사과|1개 ( 300g)
AGR-A0135|사과|1개(328g)
AGR-A0136|사과|1개339g
AGR-A0137|사과|1개(223g)
AGR-A0138|사과|1개(345g)
AGR-A0139|사과|1개(261g)
AGR-A0140|사과|1개360g
AGR-A0141|사과|1개(447g)
AGR-A0142|사과|1개(600g)
AGR-A0143|사과|1개(770g)
AGR-A0144|사과|1개 300g 
AGR-A0145|사과|1개 (330g)
AGR-A0146|사과|1개(420g)
AGR-A0147|사과|1개(360g)
AGR-A0148|사과|1개(367g)
AGR-A0149|사과|1개(254g)
AGR-A0150|사과|1개(275g)
AGR-A0151|사과|1개(265g)
AGR-A0152|사과|1개(500g)
AGR-A0153|사과|1개286g
AGR-A0154|사과|1개270g
AGR-A0155|사과|1개344g
AGR-A0156|사과|1개 (4개 7,000원 )
AGR-A0157|사과|1개(363g)
AGR-A0158|사과|1개387g
AGR-A0159|사과|1개(353g)
AGR-A0160|사과|1개(255g)
AGR-A0161|사과|1개500g
AGR-A0162|사과|1개376g
AGR-A0163|사과|1개341g
