p_code|description|p_name|c_code_agrr|c_code_agrw|m_coder|m_codew
AR000001|국내산 부사|사과(부사, 300g)|AGR-A0001||T1|
AR000002|국내산 4개 8900원 |사과(부사, 300g)|AGR-A0002||M1|
AR000003|국내산 5개 9990원|사과(부사, 300g)|AGR-A0002||M2|
AR000004|국내산 |사과(부사, 300g)|AGR-A0002||T2|
AR000005|저탄소인증사과/1팩 5~6 7,980원|사과(부사)|AGR-A0001||M3|
AR000006|국내산 4개 7990원 |사과(부사, 300g)|AGR-A0002||M2|
AR000007|고당도사과/1팩 4~6 8,900원|사과(부사)|AGR-A0001||M3|
AR000008|국내산 부사/1팩 5개 8,000원|사과(부사, 300g)|AGR-A0001||T3|
AR000009|청송사과|사과(부사, 300g)|AGR-A0003||T4|
AR000010|청송사과|사과(부사, 300g)|AGR-A0003||T5|
AR000011|청송사과|사과|AGR-A0003||M4|
AR000012|저탄소사과|사과|AGR-A0003||M5|
AR000013|저탄소인증사과/1팩 4~6 8,900원|사과(부사)|AGR-A0001||M3|
AR000014|국내산 부사/1팩 4개 6,000원|사과(부사, 300g)|AGR-A0001||T3|
AR000015|국내산 4개 12990원 |사과(부사, 300g)|AGR-A0002||M2|
AR000016|국내산 부사/1팩5개 8,000원|사과(부사, 300g)|AGR-A0001||T3|
AR000017|고당도사과|사과|AGR-A0003||M4|
AR000018|뜨라네사과|사과|AGR-A0003||M5|
AR000019||사과(부사, 300g)|AGR-A0001||T2|
AR000020|청송사과|사과(부사, 300g)|AGR-A0001||M1|
AR000021|1봉4개12,960원|사과(부사, 300g)|AGR-A0001||M2|
AR000022|국내산,저탄소,사과|사과|AGR-A0002||M5|
AR000023|국민의힘고당도/1팩 5~6 7,980원|사과(부사)|AGR-A0001||M3|
AR000024|국내산,청송,꿀,부사|사과(부사, 300g)|AGR-A0002||T4|
AR000025|국내산 부사//1팩5개 7,000원|사과(부사, 300g)|AGR-A0001||T3|
AR000026|국내산,청송,사과|사과|AGR-A0002||M4|
AR000027|국내산,청송,사과|사과(부사, 300g)|AGR-A0002||T5|
AR000028|국내산,안동,부사|사과(부사, 300g)|AGR-A0002||T5|
AR000029|국내산,부사,영주|사과|AGR-A0002||M6|
AR000030|국산|사과(부사, 300g)|AGR-A0001||T11|
AR000031|국내 gap죽장사과(4개 7,900원) |사과(부사, 300g)|AGR-A0004||M7|
AR000032|국내산,부사|사과|AGR-A0002||T12|
AR000033|국산|사과(부사, 300g)|AGR-A0001||M8|
AR000034|국산|사과(부사, 300g)|AGR-A0001||M9|
AR000035|국내산,부사|사과|AGR-A0002||T13|
AR000036|국내산 부사 1봉(6개입)10000원|사과(부사, 300g)|AGR-A0001||M10|
AR000037|국내산 부사 1봉(4~5개입)9900원|사과(부사, 300g)|AGR-A0001||M11|
AR000038|국내산,부사,고산지|사과|AGR-A0002||M12|
AR000039|국내산 부사|사과(부사, 300g)|AGR-A0001||T14|
AR000040|국내산부사|사과|AGR-A0005||T13|
AR000041|국내산부사|사과|AGR-A0001||M13|
AR000042|국내산 부사 5개10,000원|사과(부사, 300g)|AGR-A0001||T15|
AR000043|국내산 부사|사과(부사, 300g)|AGR-A0001||M14|
AR000044|국내산부사|사과(부사)|AGR-A0001||M15|
AR000045|국내산부사|사과|AGR-A0005||T12|
AR000046|국내산 1봉지 5개10,000원|사과|AGR-A0001||M16|
AR000047|국내산부사|사과(부사, 300g)|AGR-A0001||T16|
AR000048|국내산.부사|사과(부사, 300g)|AGR-A0001||T17|
AR000049|국내산/안동/부사|사과(부사, 300g)|AGR-A0006||T18|
AR000050|국내산/영주/부사|사과(부사, 300g)|AGR-A0007||M17|
AR000051|국내산부사|사과(부사, 300g)|AGR-A0001||T9|
AR000052|국내산1봉지4-6개8980원4-7|사과|AGR-A0005||M12|
AR000053|국내산/GAP|사과(부사)|AGR-A0008||M18|
AR000054|국내산.부사|사과(부사, 300g)|AGR-A0001||M19|
AR000055|국내산|사과(부사)|AGR-A0009||T19|
AR000056|국내산|사과(부사)|AGR-A0010||M20|
AR000057|국내산.부사|사과(부사, 300g)|AGR-A0001||T20|
AR000058|국내산, 1봉(1.5kg) 7개입 11000원|사과(부사)|AGR-A0011||T21|
AR000059|청송5과 9900|사과(부사, 300g)|AGR-A0001||M21|
AR000060|국내산1봉지5개6990|사과|AGR-A0005||M6|
AR000061|국내산, 1봉(3kg) 11개입 12900원|사과(부사)|AGR-A0012||M22|
AR000062|국내산 부사|사과(부사, 300g)|AGR-A0013||T22|
AR000063|국내산,부사예산|사과(부사, 300g)|AGR-A0001||T6|
AR000064|국내산 부사|사과(부사, 300g)|AGR-A0013||T23|
AR000065|국내산.부사|사과(부사, 300g)|AGR-A0001||M23|
AR000066|국내산 부사|사과(부사, 300g)|AGR-A0013||M24|
AR000067|국내산 부사|사과(부사, 300g)|AGR-A0013||M25|
