date,price,p_code,id
2022-06-23,44500,AW_A00115,146055
2022-06-23,41000,AW_A00116,146056
2022-06-23,97800,AW_A00153,146057
2022-06-23,240000,AW_A00198,146058
2022-06-23,122000,AW_A00200,146059
2022-06-23,360000,AW_A00091,146060
2022-06-23,266000,AW_A00092,146061
2022-06-23,736000,AW_A00033,146062
2022-06-23,216000,AW_A00034,146063
2022-06-23,4500,AW_A00056,146064
2022-06-23,32300,AW_A00021,146065
2022-06-23,26300,AW_A00022,146066
2022-06-23,42300,AW_A00008,146067
2022-06-23,38300,AW_A00009,146068
2022-06-22,44200,AW_A00115,146069
2022-06-22,40800,AW_A00116,146070
2022-06-22,97800,AW_A00153,146071
2022-06-22,240000,AW_A00198,146072
2022-06-22,122000,AW_A00200,146073
2022-06-22,360000,AW_A00091,146074
2022-06-22,266000,AW_A00092,146075
2022-06-22,736000,AW_A00033,146076
2022-06-22,216000,AW_A00034,146077
2022-06-22,4500,AW_A00056,146078
2022-06-22,32300,AW_A00021,146079
2022-06-22,26300,AW_A00022,146080
2022-06-22,42300,AW_A00008,146081
2022-06-22,38300,AW_A00009,146082
2022-06-21,44200,AW_A00115,146083
2022-06-21,40800,AW_A00116,146084
2022-06-21,97800,AW_A00153,146085
2022-06-21,240000,AW_A00198,146086
2022-06-21,122000,AW_A00200,146087
2022-06-21,360000,AW_A00091,146088
2022-06-21,266000,AW_A00092,146089
2022-06-21,736000,AW_A00033,146090
2022-06-21,216000,AW_A00034,146091
2022-06-21,4500,AW_A00056,146092
2022-06-21,32300,AW_A00021,146093
2022-06-21,26300,AW_A00022,146094
2022-06-21,42300,AW_A00008,146095
2022-06-21,38300,AW_A00009,146096
2022-06-20,44200,AW_A00115,146097
2022-06-20,40800,AW_A00116,146098
2022-06-20,97800,AW_A00153,146099
2022-06-20,240000,AW_A00198,146100
2022-06-20,122000,AW_A00200,146101
2022-06-20,360000,AW_A00091,146102
2022-06-20,266000,AW_A00092,146103
2022-06-20,736000,AW_A00033,146104
2022-06-20,216000,AW_A00034,146105
2022-06-20,4500,AW_A00056,146106
2022-06-20,32300,AW_A00021,146107
2022-06-20,26300,AW_A00022,146108
2022-06-20,42300,AW_A00008,146109
2022-06-20,38300,AW_A00009,146110
2022-06-17,44200,AW_A00115,146111
