date,price,p_code
2022-06-18,,AW_A00115
2022-06-18,,AW_A00116
2022-06-18,,AW_A00153
2022-06-18,,AW_A00198
2022-06-18,,AW_A00200
2022-06-18,,AW_A00091
2022-06-18,,AW_A00092
2022-06-18,,AW_A00033
2022-06-18,,AW_A00034
2022-06-18,,AW_A00056
2022-06-18,,AW_A00021
2022-06-18,,AW_A00022
2022-06-18,,AW_A00008
2022-06-18,,AW_A00009
2022-06-11,,AW_A00115
2022-06-11,,AW_A00116
2022-06-11,,AW_A00153
2022-06-11,,AW_A00198
2022-06-11,,AW_A00200
2022-06-11,,AW_A00091
2022-06-11,,AW_A00092
2022-06-11,,AW_A00033
2022-06-11,,AW_A00034
2022-06-11,,AW_A00056
2022-06-11,,AW_A00021
2022-06-11,,AW_A00022
2022-06-11,,AW_A00008
2022-06-11,,AW_A00009
2022-06-06,,AW_A00115
2022-06-06,,AW_A00116
2022-06-06,,AW_A00153
2022-06-06,,AW_A00198
2022-06-06,,AW_A00200
2022-06-06,,AW_A00091
2022-06-06,,AW_A00092
2022-06-06,,AW_A00033
2022-06-06,,AW_A00034
2022-06-06,,AW_A00021
2022-06-06,,AW_A00022
2022-06-06,,AW_A00008
2022-06-06,,AW_A00009
2022-06-04,,AW_A00115
2022-06-04,,AW_A00116
2022-06-04,,AW_A00153
2022-06-04,,AW_A00198
2022-06-04,,AW_A00200
2022-06-04,,AW_A00091
2022-06-04,,AW_A00092
2022-06-04,,AW_A00033
2022-06-04,,AW_A00034
2022-06-04,,AW_A00056
2022-06-04,,AW_A00021
2022-06-04,,AW_A00022
2022-06-04,,AW_A00008
2022-06-04,,AW_A00009
2022-06-01,,AW_A00115
2022-06-01,,AW_A00116
2022-06-01,,AW_A00153
2022-06-01,,AW_A00198
2022-06-01,,AW_A00200
2022-06-01,,AW_A00091
2022-06-01,,AW_A00092
2022-06-01,,AW_A00033
2022-06-01,,AW_A00034
2022-06-01,,AW_A00021
2022-06-01,,AW_A00022
2022-06-01,,AW_A00008
2022-06-01,,AW_A00009
2022-05-28,,AW_A00115
2022-05-28,,AW_A00116
2022-05-28,,AW_A00153
2022-05-28,,AW_A00198
2022-05-28,,AW_A00200
2022-05-28,,AW_A00091
2022-05-28,,AW_A00092
2022-05-28,,AW_A00033
2022-05-28,,AW_A00034
2022-05-28,,AW_A00021
2022-05-28,,AW_A00022
2022-05-28,,AW_A00008
2022-05-28,,AW_A00009
2022-05-21,,AW_A00115
2022-05-21,,AW_A00116
2022-05-21,,AW_A00153
2022-05-21,,AW_A00198
2022-05-21,,AW_A00200
2022-05-21,,AW_A00091
2022-05-21,,AW_A00092
2022-05-21,,AW_A00033
2022-05-21,,AW_A00034
2022-05-21,,AW_A00021
2022-05-21,,AW_A00022
2022-05-21,,AW_A00008
2022-05-21,,AW_A00009
2022-05-14,,AW_A00115
2022-05-14,,AW_A00116
2022-05-14,,AW_A00153
2022-05-14,,AW_A00198
2022-05-14,,AW_A00200
2022-05-14,,AW_A00091
2022-05-14,,AW_A00092
2022-05-14,,AW_A00033
2022-05-14,,AW_A00034
2022-05-14,,AW_A00021
2022-05-14,,AW_A00022
2022-05-14,,AW_A00008
2022-05-14,,AW_A00009
2022-05-07,,AW_A00115
2022-05-07,,AW_A00116
2022-05-07,,AW_A00153
2022-05-07,,AW_A00198
2022-05-07,,AW_A00200
2022-05-07,,AW_A00091
2022-05-07,,AW_A00092
2022-05-07,,AW_A00033
2022-05-07,,AW_A00034
2022-05-07,,AW_A00021
2022-05-07,,AW_A00022
2022-05-07,,AW_A00008
2022-05-07,,AW_A00009
2022-05-05,,AW_A00115
2022-05-05,,AW_A00116
2022-05-05,,AW_A00153
2022-05-05,,AW_A00198
2022-05-05,,AW_A00200
2022-05-05,,AW_A00091
