category_code,p_code,p_group,kind_name_new,rank,unit,price,date
AW_A00115,AW_A00115,쌀,쌀(일반계)(20kg),상품,20kg,"44,500",2022-06-23
AW_A00116,AW_A00116,쌀,쌀(일반계)(20kg),중품,20kg,"41,000",2022-06-23
AW_A00153,AW_A00153,찹쌀,찹쌀(일반계)(40kg),중품,40kg,"97,800",2022-06-23
AW_A00198,AW_A00198,콩,흰 콩(국산)(40kg),상품,40kg,"240,000",2022-06-23
AW_A00200,AW_A00200,콩,흰 콩(수입)(35kg),중품,35kg,"122,000",2022-06-23
AW_A00091,AW_A00091,팥,붉은 팥(국산)(40kg),상품,40kg,"360,000",2022-06-23
AW_A00092,AW_A00092,팥,붉은 팥(수입)(40kg),중품,40kg,"266,000",2022-06-23
AW_A00033,AW_A00033,녹두,녹두(국산)(40kg),상품,40kg,"736,000",2022-06-23
AW_A00034,AW_A00034,녹두,녹두(수입)(40kg),중품,40kg,"216,000",2022-06-23
AW_A00056,AW_A00056,메밀,메밀(수입)(1kg),중품,1kg,"4,500",2022-06-23
AW_A00021,AW_A00021,고구마,고구마(밤)(10kg),상품,10kg,"32,300",2022-06-23
AW_A00022,AW_A00022,고구마,고구마(밤)(10kg),중품,10kg,"26,300",2022-06-23
AW_A00008,AW_A00008,감자,감자(수미)(20kg),상품,20kg,"42,300",2022-06-23
AW_A00009,AW_A00009,감자,감자(수미)(20kg),중품,20kg,"38,300",2022-06-23
AW_A00115,AW_A00115,쌀,쌀(일반계)(20kg),상품,20kg,"44,200",2022-06-22
AW_A00116,AW_A00116,쌀,쌀(일반계)(20kg),중품,20kg,"40,800",2022-06-22
AW_A00153,AW_A00153,찹쌀,찹쌀(일반계)(40kg),중품,40kg,"97,800",2022-06-22
AW_A00198,AW_A00198,콩,흰 콩(국산)(40kg),상품,40kg,"240,000",2022-06-22
AW_A00200,AW_A00200,콩,흰 콩(수입)(35kg),중품,35kg,"122,000",2022-06-22
AW_A00091,AW_A00091,팥,붉은 팥(국산)(40kg),상품,40kg,"360,000",2022-06-22
AW_A00092,AW_A00092,팥,붉은 팥(수입)(40kg),중품,40kg,"266,000",2022-06-22
