,item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1
0,쌀,111,일반계(20kg),01,상품,04,20kg,2022-06-23,"44,500"
1,쌀,111,일반계(20kg),01,중품,05,20kg,2022-06-23,"41,000"
2,찹쌀,112,일반계(40kg),01,중품,05,40kg,2022-06-23,"97,800"
3,콩,141,흰 콩(국산)(40kg),01,상품,04,40kg,2022-06-23,"240,000"
4,콩,141,흰 콩(수입)(35kg),03,중품,05,35kg,2022-06-23,"122,000"
5,팥,142,붉은 팥(국산)(40kg),00,상품,04,40kg,2022-06-23,"360,000"
6,팥,142,붉은 팥(수입)(40kg),01,중품,05,40kg,2022-06-23,"266,000"
7,녹두,143,국산(40kg),00,상품,04,40kg,2022-06-23,"736,000"
8,녹두,143,수입(40kg),01,중품,05,40kg,2022-06-23,"216,000"
9,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,2022-06-23,"4,500"
10,고구마,151,밤(10kg),00,상품,04,10kg,2022-06-23,"32,300"
11,고구마,151,밤(10kg),00,중품,05,10kg,2022-06-23,"26,300"
12,감자,152,수미(20kg),01,상품,04,20kg,2022-06-23,"42,300"
13,감자,152,수미(20kg),01,중품,05,20kg,2022-06-23,"38,300"
14,쌀,111,일반계(20kg),01,상품,04,20kg,2022-06-22,"44,200"
15,쌀,111,일반계(20kg),01,중품,05,20kg,2022-06-22,"40,800"
16,찹쌀,112,일반계(40kg),01,중품,05,40kg,2022-06-22,"97,800"
17,콩,141,흰 콩(국산)(40kg),01,상품,04,40kg,2022-06-22,"240,000"
18,콩,141,흰 콩(수입)(35kg),03,중품,05,35kg,2022-06-22,"122,000"
19,팥,142,붉은 팥(국산)(40kg),00,상품,04,40kg,2022-06-22,"360,000"
20,팥,142,붉은 팥(수입)(40kg),01,중품,05,40kg,2022-06-22,"266,000"
21,녹두,143,국산(40kg),00,상품,04,40kg,2022-06-22,"736,000"
22,녹두,143,수입(40kg),01,중품,05,40kg,2022-06-22,"216,000"
23,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,2022-06-22,"4,500"
24,고구마,151,밤(10kg),00,상품,04,10kg,2022-06-22,"32,300"
25,고구마,151,밤(10kg),00,중품,05,10kg,2022-06-22,"26,300"
26,감자,152,수미(20kg),01,상품,04,20kg,2022-06-22,"42,300"
27,감자,152,수미(20kg),01,중품,05,20kg,2022-06-22,"38,300"
28,쌀,111,일반계(20kg),01,상품,04,20kg,2022-06-21,"44,200"
29,쌀,111,일반계(20kg),01,중품,05,20kg,2022-06-21,"40,800"
30,찹쌀,112,일반계(40kg),01,중품,05,40kg,2022-06-21,"97,800"
31,콩,141,흰 콩(국산)(40kg),01,상품,04,40kg,2022-06-21,"240,000"
32,콩,141,흰 콩(수입)(35kg),03,중품,05,35kg,2022-06-21,"122,000"
33,팥,142,붉은 팥(국산)(40kg),00,상품,04,40kg,2022-06-21,"360,000"
34,팥,142,붉은 팥(수입)(40kg),01,중품,05,40kg,2022-06-21,"266,000"
35,녹두,143,국산(40kg),00,상품,04,40kg,2022-06-21,"736,000"
36,녹두,143,수입(40kg),01,중품,05,40kg,2022-06-21,"216,000"
37,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,2022-06-21,"4,500"
38,고구마,151,밤(10kg),00,상품,04,10kg,2022-06-21,"32,300"
39,고구마,151,밤(10kg),00,중품,05,10kg,2022-06-21,"26,300"
40,감자,152,수미(20kg),01,상품,04,20kg,2022-06-21,"42,300"
